emoticon,cnt,emoji,name,group,sub_group
_magnifying_glass_tilted_left_,35,🔍,magnifying glass tilted left,Objects,light & video
_person_shrugging_,35,🤷,person shrugging,People & Body,person-gesture
_speaker_high_volume_,35,🔊,speaker high volume,Objects,sound
_dog_,35,🐕,dog,Animals & Nature,animal-mammal
_weary_cat_,34,🙀,weary cat,Smileys & Emotion,cat-face
_love-you_gesture_light_skin_tone_,34,🤟🏻,love-you gesture: light skin tone,People & Body,hand-fingers-partial
_brown_heart_,34,🤎,brown heart,Smileys & Emotion,emotion
_woman_and_man_holding_hands_,34,👫,woman and man holding hands,People & Body,family
_green_apple_,33,🍏,green apple,Food & Drink,food-fruit
_link_,33,🔗,link,Objects,tool
_crystal_ball_,33,🔮,crystal ball,Activities,game
_ice_cream_,33,🍨,ice cream,Food & Drink,food-sweet
_comet_,33,☄️,comet,Travel & Places,sky & weather
_backhand_index_pointing_up_,32,👆,backhand index pointing up,People & Body,hand-single-finger
_white_circle_,32,⚪,white circle,Symbols,geometric
_tomato_,32,🍅,tomato,Food & Drink,food-fruit
_snowman_without_snow_,32,⛄,snowman without snow,Travel & Places,sky & weather
_avocado_,32,🥑,avocado,Food & Drink,food-vegetable
_women_with_bunny_ears_,31,👯‍♀️,women with bunny ears,People & Body,person-activity
_fireworks_,31,🎆,fireworks,Activities,event
_shaved_ice_,31,🍧,shaved ice,Food & Drink,food-sweet
_writing_hand_light_skin_tone_,31,✍🏻,writing hand: light skin tone,People & Body,hand-prop
_film_frames_,31,🎞️,film frames,Objects,light & video
_brain_,31,🧠,brain,People & Body,body-parts
_goblin_,31,👺,goblin,Smileys & Emotion,face-costume
_man_dancing_light_skin_tone_,31,🕺🏻,man dancing: light skin tone,People & Body,person-activity
_bullseye_,31,🎯,bullseye,Activities,game
_mage_,30,🧙,mage,People & Body,person-fantasy
_delivery_truck_,30,🚚,delivery truck,Travel & Places,transport-ground
_face_with_thermometer_,30,🤒,face with thermometer,Smileys & Emotion,face-unwell
_person_gesturing_OK_,30,🙆,person gesturing OK,People & Body,person-gesture
_woman_fairy_light_skin_tone_,30,🧚🏻‍♀️,woman fairy: light skin tone,People & Body,person-fantasy
_crossed_fingers_light_skin_tone_,30,🤞🏻,crossed fingers: light skin tone,People & Body,hand-fingers-partial
_kissing_face_,30,😗,kissing face,Smileys & Emotion,face-affection
_face_with_head-bandage_,29,🤕,face with head-bandage,Smileys & Emotion,face-unwell
_wilted_flower_,29,🥀,wilted flower,Animals & Nature,plant-flower
_jack-o-lantern_,29,🎃,jack-o-lantern,Activities,event
_broccoli_,29,🥦,broccoli,Food & Drink,food-vegetable
_spiral_calendar_,29,🗓️,spiral calendar,Objects,office
_peach_,29,🍑,peach,Food & Drink,food-fruit
_beer_mug_,29,🍺,beer mug,Food & Drink,drink
_hourglass_done_,29,⌛,hourglass done,Travel & Places,time
_penguin_,28,🐧,penguin,Animals & Nature,animal-bird
_speech_balloon_,28,💬,speech balloon,Smileys & Emotion,emotion
_light_bulb_,28,💡,light bulb,Objects,light & video
_hear-no-evil_monkey_,28,🙉,hear-no-evil monkey,Smileys & Emotion,monkey-face
_selfie_,28,🤳,selfie,People & Body,hand-prop
_tumbler_glass_,28,🥃,tumbler glass,Food & Drink,drink
_radio_button_,28,🔘,radio button,Symbols,geometric
_girl_,28,👧,girl,People & Body,person
_carrot_,28,🥕,carrot,Food & Drink,food-vegetable
_motor_scooter_,28,🛵,motor scooter,Travel & Places,transport-ground
_turtle_,28,🐢,turtle,Animals & Nature,animal-reptile
_mechanical_arm_,27,🦾,mechanical arm,People & Body,body-parts
_left-facing_fist_light_skin_tone_,27,🤛🏻,left-facing fist: light skin tone,People & Body,hand-fingers-closed
_flexed_biceps_dark_skin_tone_,27,💪🏿,flexed biceps: dark skin tone,People & Body,body-parts
_footprints_,27,👣,footprints,People & Body,person-symbol
_person_gesturing_NO_,27,🙅,person gesturing NO,People & Body,person-gesture
_memo_,27,📝,memo,Objects,writing
_new_moon_face_,27,🌚,new moon face,Travel & Places,sky & weather
_frowning_face_with_open_mouth_,27,😦,frowning face with open mouth,Smileys & Emotion,face-concerned
_wine_glass_,27,🍷,wine glass,Food & Drink,drink
_telephone_,27,☎️,telephone,Objects,phone
_rainbow_flag_,27,🏳️‍🌈,rainbow flag,Flags,flag
_yawning_face_,27,🥱,yawning face,Smileys & Emotion,face-concerned
_cyclone_,27,🌀,cyclone,Travel & Places,sky & weather
_waving_hand_medium-light_skin_tone_,27,👋🏼,waving hand: medium-light skin tone,People & Body,hand-fingers-open
_dagger_,27,🗡️,dagger,Objects,tool
_person_raising_hand_light_skin_tone_,27,🙋🏻,person raising hand: light skin tone,People & Body,person-gesture
_pencil_,26,✏️,pencil,Objects,writing
_bow_and_arrow_,26,🏹,bow and arrow,Objects,tool
_OK_hand_medium_skin_tone_,26,👌🏽,OK hand: medium skin tone,People & Body,hand-fingers-partial
_anguished_face_,26,😧,anguished face,Smileys & Emotion,face-concerned
_SOS_button_,26,🆘,SOS button,Symbols,alphanum
_bird_,26,🐦,bird,Animals & Nature,animal-bird
_clapping_hands_dark_skin_tone_,26,👏🏿,clapping hands: dark skin tone,People & Body,hands
_dove_,26,🕊️,dove,Animals & Nature,animal-bird
_woman_tipping_hand_,26,💁‍♀️,woman tipping hand,People & Body,person-gesture
_raised_back_of_hand_,26,🤚,raised back of hand,People & Body,hand-fingers-open
_horse_face_,26,🐴,horse face,Animals & Nature,animal-mammal
_black_circle_,26,⚫,black circle,Symbols,geometric
_right-facing_fist_light_skin_tone_,26,🤜🏻,right-facing fist: light skin tone,People & Body,hand-fingers-closed
_articulated_lorry_,26,🚛,articulated lorry,Travel & Places,transport-ground
_alien_monster_,25,👾,alien monster,Smileys & Emotion,face-costume
_woman_technologist_,25,👩‍💻,woman technologist,People & Body,person-role
_woman_shrugging_medium_skin_tone_,25,🤷🏽‍♀️,woman shrugging: medium skin tone,People & Body,person-gesture
_man_zombie_,25,🧟‍♂️,man zombie,People & Body,person-fantasy
_desktop_computer_,25,🖥️,desktop computer,Objects,computer
_hand_with_fingers_splayed_light_skin_tone_,25,🖐🏻,hand with fingers splayed: light skin tone,People & Body,hand-fingers-open
_princess_,25,👸,princess,People & Body,person-role
_open_book_,25,📖,open book,Objects,book-paper
_cloud_with_rain_,24,🌧️,cloud with rain,Travel & Places,sky & weather
_syringe_,24,💉,syringe,Objects,medical
_woman_zombie_,24,🧟‍♀️,woman zombie,People & Body,person-fantasy
_performing_arts_,24,🎭,performing arts,Activities,arts & crafts
_Japan_,23,🇯🇵,flag: Japan,Flags,country-flag
_house_with_garden_,23,🏡,house with garden,Travel & Places,place-building
_snow-capped_mountain_,23,🏔️,snow-capped mountain,Travel & Places,place-geographic
_raised_hand_medium-light_skin_tone_,23,✋🏼,raised hand: medium-light skin tone,People & Body,hand-fingers-open
_bathtub_,23,🛁,bathtub,Objects,household
_thumbs_up_dark_skin_tone_,23,👍🏿,thumbs up: dark skin tone,People & Body,hand-fingers-closed
_no_entry_,23,⛔,no entry,Symbols,warning
_lying_face_,23,🤥,lying face,Smileys & Emotion,face-neutral-skeptical
_microscope_,23,🔬,microscope,Objects,science
_no_mobile_phones_,23,📵,no mobile phones,Symbols,warning
_right_arrow_curving_down_,23,⤵️,right arrow curving down,Symbols,arrow
_sports_medal_,23,🏅,sports medal,Activities,award-medal
_leafy_green_,23,🥬,leafy green,Food & Drink,food-vegetable
_sunrise_,23,🌅,sunrise,Travel & Places,place-other
_deer_,22,🦌,deer,Animals & Nature,animal-mammal
_no_one_under_eighteen_,22,🔞,no one under eighteen,Symbols,warning
_man_light_skin_tone_,22,👨🏻,man: light skin tone,People & Body,person
_wolf_,22,🐺,wolf,Animals & Nature,animal-mammal
_small_orange_diamond_,22,🔸,small orange diamond,Symbols,geometric
_bottle_with_popping_cork_,22,🍾,bottle with popping cork,Food & Drink,drink
_man_facepalming_medium_skin_tone_,22,🤦🏽‍♂️,man facepalming: medium skin tone,People & Body,person-gesture
_coconut_,22,🥥,coconut,Food & Drink,food-fruit
_glass_of_milk_,22,🥛,glass of milk,Food & Drink,drink
_desert_island_,22,🏝️,desert island,Travel & Places,place-geographic
_umbrella_on_ground_,22,⛱️,umbrella on ground,Travel & Places,sky & weather
_guitar_,21,🎸,guitar,Objects,musical-instrument
_baby_angel_,21,👼,baby angel,People & Body,person-fantasy
_OK_hand_dark_skin_tone_,21,👌🏿,OK hand: dark skin tone,People & Body,hand-fingers-partial
_pill_,21,💊,pill,Objects,medical
_person_tipping_hand_,21,💁,person tipping hand,People & Body,person-gesture
_globe_showing_Asia-Australia_,21,🌏,globe showing Asia-Australia,Travel & Places,place-map
_musical_keyboard_,21,🎹,musical keyboard,Objects,musical-instrument
_thumbs_down_dark_skin_tone_,21,👎🏿,thumbs down: dark skin tone,People & Body,hand-fingers-closed
_kissing_cat_,21,😽,kissing cat,Smileys & Emotion,cat-face
_teddy_bear_,21,🧸,teddy bear,Activities,game
_thumbs_down_medium_skin_tone_,21,👎🏽,thumbs down: medium skin tone,People & Body,hand-fingers-closed
_man_shrugging_medium-light_skin_tone_,21,🤷🏼‍♂️,man shrugging: medium-light skin tone,People & Body,person-gesture
_lotion_bottle_,20,🧴,lotion bottle,Objects,household
_woman_,20,👩,woman,People & Body,person
_woman_bowing_,20,🙇‍♀️,woman bowing,People & Body,person-gesture
_clapping_hands_medium-dark_skin_tone_,20,👏🏾,clapping hands: medium-dark skin tone,People & Body,hands
_backhand_index_pointing_left_medium-light_skin_tone_,20,👈🏼,backhand index pointing left: medium-light skin tone,People & Body,hand-single-finger
_coffin_,20,⚰️,coffin,Objects,other-object
_shooting_star_,20,🌠,shooting star,Travel & Places,sky & weather
_doughnut_,20,🍩,doughnut,Food & Drink,food-sweet
_pineapple_,20,🍍,pineapple,Food & Drink,food-fruit
_man_mage_,20,🧙‍♂️,man mage,People & Body,person-fantasy
_hammer_,20,🔨,hammer,Objects,tool
_left-facing_fist_,20,🤛,left-facing fist,People & Body,hand-fingers-closed
_victory_hand_medium_skin_tone_,20,✌🏽,victory hand: medium skin tone,People & Body,hand-fingers-partial
_right-facing_fist_,19,🤜,right-facing fist,People & Body,hand-fingers-closed
_pinched_fingers_,19,🤌,pinched fingers,People & Body,hand-fingers-partial
_thumbs_up_medium-dark_skin_tone_,19,👍🏾,thumbs up: medium-dark skin tone,People & Body,hand-fingers-closed
_man_technologist_,19,👨‍💻,man technologist,People & Body,person-role
_kiss_,19,💏,kiss,People & Body,family
_woman_light_skin_tone_,19,👩🏻,woman: light skin tone,People & Body,person
_top_hat_,19,🎩,top hat,Objects,clothing
_man_raising_hand_medium-light_skin_tone_,19,🙋🏼‍♂️,man raising hand: medium-light skin tone,People & Body,person-gesture
_woman_cartwheeling_light_skin_tone_,19,🤸🏻‍♀️,woman cartwheeling: light skin tone,People & Body,person-sport
_fork_and_knife_with_plate_,19,🍽️,fork and knife with plate,Food & Drink,dishware
_keycap_1_,19,1️⃣,keycap: 1,Symbols,keycap
_motorcycle_,19,🏍️,motorcycle,Travel & Places,transport-ground
_boy_light_skin_tone_,19,👦🏻,boy: light skin tone,People & Body,person
_studio_microphone_,18,🎙️,studio microphone,Objects,music
_folded_hands_dark_skin_tone_,18,🙏🏿,folded hands: dark skin tone,People & Body,hands
_raised_back_of_hand_light_skin_tone_,18,🤚🏻,raised back of hand: light skin tone,People & Body,hand-fingers-open
_timer_clock_,18,⏲️,timer clock,Travel & Places,time
_cucumber_,18,🥒,cucumber,Food & Drink,food-vegetable
_wind_face_,18,🌬️,wind face,Travel & Places,sky & weather
_woman_bowing_light_skin_tone_,18,🙇🏻‍♀️,woman bowing: light skin tone,People & Body,person-gesture
_microbe_,18,🦠,microbe,Animals & Nature,animal-bug
_eggplant_,18,🍆,eggplant,Food & Drink,food-vegetable
_prayer_beads_,18,📿,prayer beads,Objects,clothing
_umbrella_,18,☂️,umbrella,Travel & Places,sky & weather
_woman_gesturing_OK_,17,🙆‍♀️,woman gesturing OK,People & Body,person-gesture
_balance_scale_,17,⚖️,balance scale,Objects,tool
_white_exclamation_mark_,17,❕,white exclamation mark,Symbols,punctuation
_women_holding_hands_,17,👭,women holding hands,People & Body,family
_keycap_3_,17,3️⃣,keycap: 3,Symbols,keycap
_litter_in_bin_sign_,17,🚮,litter in bin sign,Symbols,transport-sign
_Brazil_,17,🇧🇷,flag: Brazil,Flags,country-flag
_pinched_fingers_light_skin_tone_,17,🤌🏻,pinched fingers: light skin tone,People & Body,hand-fingers-partial
_banana_,17,🍌,banana,Food & Drink,food-fruit
_cooking_,17,🍳,cooking,Food & Drink,food-prepared
_family_man_woman_girl_boy_,17,👨‍👩‍👧‍👦,"family: man, woman, girl, boy",People & Body,family
_baby_,17,👶,baby,People & Body,person
_flashlight_,17,🔦,flashlight,Objects,light & video
_tornado_,17,🌪️,tornado,Travel & Places,sky & weather
_love-you_gesture_medium-light_skin_tone_,17,🤟🏼,love-you gesture: medium-light skin tone,People & Body,hand-fingers-partial
_dress_,17,👗,dress,Objects,clothing
_shortcake_,17,🍰,shortcake,Food & Drink,food-sweet
_woman_getting_massage_light_skin_tone_,17,💆🏻‍♀️,woman getting massage: light skin tone,People & Body,person-activity
_check_box_with_check_,16,☑️,check box with check,Symbols,other-symbol
_hot_pepper_,16,🌶️,hot pepper,Food & Drink,food-vegetable
_cheese_wedge_,16,🧀,cheese wedge,Food & Drink,food-prepared
_writing_hand_medium-light_skin_tone_,16,✍🏼,writing hand: medium-light skin tone,People & Body,hand-prop
_Santa_Claus_,16,🎅,Santa Claus,People & Body,person-fantasy
_sailboat_,16,⛵,sailboat,Travel & Places,transport-water
_person_swimming_,16,🏊,person swimming,People & Body,person-sport
_keycap_2_,16,2️⃣,keycap: 2,Symbols,keycap
_vulcan_salute_,16,🖖,vulcan salute,People & Body,hand-fingers-open
_woman_facepalming_medium-dark_skin_tone_,16,🤦🏾‍♀️,woman facepalming: medium-dark skin tone,People & Body,person-gesture
_folded_hands_medium-dark_skin_tone_,16,🙏🏾,folded hands: medium-dark skin tone,People & Body,hands
_person_bowing_,16,🙇,person bowing,People & Body,person-gesture
_flexed_biceps_medium_skin_tone_,16,💪🏽,flexed biceps: medium skin tone,People & Body,body-parts
_cat_with_wry_smile_,16,😼,cat with wry smile,Smileys & Emotion,cat-face
_owl_,15,🦉,owl,Animals & Nature,animal-bird
_honey_pot_,15,🍯,honey pot,Food & Drink,food-sweet
_multiply_,15,✖️,multiply,Symbols,math
_locomotive_,15,🚂,locomotive,Travel & Places,transport-ground
_man_cook_medium-light_skin_tone_,15,👨🏼‍🍳,man cook: medium-light skin tone,People & Body,person-role
_middle_finger_light_skin_tone_,15,🖕🏻,middle finger: light skin tone,People & Body,hand-single-finger
_zzz_,15,💤,zzz,Smileys & Emotion,emotion
_wastebasket_,15,🗑️,wastebasket,Objects,office
_sign_of_the_horns_medium-light_skin_tone_,15,🤘🏼,sign of the horns: medium-light skin tone,People & Body,hand-fingers-partial
_person_gesturing_OK_medium-light_skin_tone_,15,🙆🏼,person gesturing OK: medium-light skin tone,People & Body,person-gesture
_pear_,15,🍐,pear,Food & Drink,food-fruit
_princess_light_skin_tone_,15,👸🏻,princess: light skin tone,People & Body,person-role
_pen_,15,🖊️,pen,Objects,writing
_boy_,15,👦,boy,People & Body,person
_white_large_square_,15,⬜,white large square,Symbols,geometric
_chestnut_,15,🌰,chestnut,Food & Drink,food-vegetable
_alembic_,15,⚗️,alembic,Objects,science
_saxophone_,14,🎷,saxophone,Objects,musical-instrument
_racing_car_,14,🏎️,racing car,Travel & Places,transport-ground
_briefcase_,14,💼,briefcase,Objects,office
_up_arrow_,14,⬆️,up arrow,Symbols,arrow
_panda_,14,🐼,panda,Animals & Nature,animal-mammal
_tropical_fish_,14,🐠,tropical fish,Animals & Nature,animal-marine
_meat_on_bone_,14,🍖,meat on bone,Food & Drink,food-prepared
_sunglasses_,14,🕶️,sunglasses,Objects,clothing
_taxi_,14,🚕,taxi,Travel & Places,transport-ground
_newspaper_,14,📰,newspaper,Objects,book-paper
_bear_,14,🐻,bear,Animals & Nature,animal-mammal
_pouting_cat_,14,😾,pouting cat,Smileys & Emotion,cat-face
_person_tipping_hand_light_skin_tone_,14,💁🏻,person tipping hand: light skin tone,People & Body,person-gesture
_chicken_,14,🐔,chicken,Animals & Nature,animal-bird
_person_facepalming_light_skin_tone_,14,🤦🏻,person facepalming: light skin tone,People & Body,person-gesture
_man_,14,👨,man,People & Body,person
_call_me_hand_medium-light_skin_tone_,14,🤙🏼,call me hand: medium-light skin tone,People & Body,hand-fingers-partial
_index_pointing_up_light_skin_tone_,14,☝🏻,index pointing up: light skin tone,People & Body,hand-single-finger
_otter_,14,🦦,otter,Animals & Nature,animal-mammal
_closed_umbrella_,14,🌂,closed umbrella,Travel & Places,sky & weather
_people_with_bunny_ears_,14,👯,people with bunny ears,People & Body,person-activity
_fork_and_knife_,14,🍴,fork and knife,Food & Drink,dishware
_cloud_with_snow_,13,🌨️,cloud with snow,Travel & Places,sky & weather
_umbrella_with_rain_drops_,13,☔,umbrella with rain drops,Travel & Places,sky & weather
_trumpet_,13,🎺,trumpet,Objects,musical-instrument
_open_hands_,13,👐,open hands,People & Body,hands
_world_map_,13,🗺️,world map,Travel & Places,place-map
_rabbit_face_,13,🐰,rabbit face,Animals & Nature,animal-mammal
_radioactive_,13,☢️,radioactive,Symbols,warning
_potato_,13,🥔,potato,Food & Drink,food-vegetable
_bat_,13,🦇,bat,Animals & Nature,animal-mammal
_grinning_cat_with_smiling_eyes_,13,😸,grinning cat with smiling eyes,Smileys & Emotion,cat-face
_old_woman_light_skin_tone_,13,👵🏻,old woman: light skin tone,People & Body,person
_necktie_,13,👔,necktie,Objects,clothing
_man_walking_,13,🚶‍♂️,man walking,People & Body,person-activity
_woman_medium-light_skin_tone_,13,👩🏼,woman: medium-light skin tone,People & Body,person
_spider_,13,🕷️,spider,Animals & Nature,animal-bug
_new_moon_,13,🌑,new moon,Travel & Places,sky & weather
_selfie_light_skin_tone_,13,🤳🏻,selfie: light skin tone,People & Body,hand-prop
_infinity_,13,♾️,infinity,Symbols,math
_victory_hand_medium-dark_skin_tone_,13,✌🏾,victory hand: medium-dark skin tone,People & Body,hand-fingers-partial
_couch_and_lamp_,13,🛋️,couch and lamp,Objects,household
_graduation_cap_,13,🎓,graduation cap,Objects,clothing
_croissant_,12,🥐,croissant,Food & Drink,food-prepared
_monkey_,12,🐒,monkey,Animals & Nature,animal-mammal
_rooster_,12,🐓,rooster,Animals & Nature,animal-bird
_ship_,12,🚢,ship,Travel & Places,transport-water
_full_moon_,12,🌕,full moon,Travel & Places,sky & weather
_electric_plug_,12,🔌,electric plug,Objects,computer
_last_quarter_moon_face_,12,🌜,last quarter moon face,Travel & Places,sky & weather
_man_detective_,12,🕵️‍♂️,man detective,People & Body,person-role
_South_Korea_,12,🇰🇷,flag: South Korea,Flags,country-flag
_woman_gesturing_NO_,12,🙅‍♀️,woman gesturing NO,People & Body,person-gesture
_bank_,12,🏦,bank,Travel & Places,place-building
_Greece_,12,🇬🇷,flag: Greece,Flags,country-flag
_left_arrow_,12,⬅️,left arrow,Symbols,arrow
_ewe_,12,🐑,ewe,Animals & Nature,animal-mammal
_person_cartwheeling_,12,🤸,person cartwheeling,People & Body,person-sport
_woman_fairy_medium-light_skin_tone_,12,🧚🏼‍♀️,woman fairy: medium-light skin tone,People & Body,person-fantasy
_backhand_index_pointing_down_dark_skin_tone_,12,👇🏿,backhand index pointing down: dark skin tone,People & Body,hand-single-finger
_backhand_index_pointing_up_light_skin_tone_,12,👆🏻,backhand index pointing up: light skin tone,People & Body,hand-single-finger
_woman_walking_light_skin_tone_,12,🚶🏻‍♀️,woman walking: light skin tone,People & Body,person-activity
_kiwi_fruit_,12,🥝,kiwi fruit,Food & Drink,food-fruit
_flying_saucer_,12,🛸,flying saucer,Travel & Places,transport-air
_fountain_pen_,12,🖋️,fountain pen,Objects,writing
_wrench_,12,🔧,wrench,Objects,tool
_woman_detective_light_skin_tone_,11,🕵🏻‍♀️,woman detective: light skin tone,People & Body,person-role
_Germany_,11,🇩🇪,flag: Germany,Flags,country-flag
_muted_speaker_,11,🔇,muted speaker,Objects,sound
_thumbs_down_medium-dark_skin_tone_,11,👎🏾,thumbs down: medium-dark skin tone,People & Body,hand-fingers-closed
_VS_button_,11,🆚,VS button,Symbols,alphanum
_white_question_mark_,11,❔,white question mark,Symbols,punctuation
_mushroom_,11,🍄,mushroom,Food & Drink,food-vegetable
_airplane_departure_,11,🛫,airplane departure,Travel & Places,transport-air
_joystick_,11,🕹️,joystick,Activities,game
_mantelpiece_clock_,11,🕰️,mantelpiece clock,Travel & Places,time
_cityscape_,11,🏙️,cityscape,Travel & Places,place-other
_blue_circle_,11,🔵,blue circle,Symbols,geometric
_military_medal_,11,🎖️,military medal,Activities,award-medal
_bellhop_bell_,11,🛎️,bellhop bell,Travel & Places,hotel
_backpack_,11,🎒,backpack,Objects,clothing
_thought_balloon_,11,💭,thought balloon,Smileys & Emotion,emotion
_small_blue_diamond_,11,🔹,small blue diamond,Symbols,geometric
_cactus_,11,🌵,cactus,Animals & Nature,plant-other
_hand_with_fingers_splayed_medium-light_skin_tone_,11,🖐🏼,hand with fingers splayed: medium-light skin tone,People & Body,hand-fingers-open
_selfie_medium-light_skin_tone_,11,🤳🏼,selfie: medium-light skin tone,People & Body,hand-prop
_red_triangle_pointed_down_,11,🔻,red triangle pointed down,Symbols,geometric
_closed_book_,11,📕,closed book,Objects,book-paper
_family_,11,👪,family,People & Body,family
_grinning_cat_,11,😺,grinning cat,Smileys & Emotion,cat-face
_green_salad_,11,🥗,green salad,Food & Drink,food-prepared
_oncoming_fist_medium_skin_tone_,11,👊🏽,oncoming fist: medium skin tone,People & Body,hand-fingers-closed
_hollow_red_circle_,11,⭕,hollow red circle,Symbols,other-symbol
_construction_,11,🚧,construction,Travel & Places,transport-ground
_oncoming_police_car_,11,🚔,oncoming police car,Travel & Places,transport-ground
_national_park_,11,🏞️,national park,Travel & Places,place-geographic
_shield_,11,🛡️,shield,Objects,tool
_dragon_,11,🐉,dragon,Animals & Nature,animal-reptile
_man_gesturing_OK_light_skin_tone_,10,🙆🏻‍♂️,man gesturing OK: light skin tone,People & Body,person-gesture
_woman_cartwheeling_,10,🤸‍♀️,woman cartwheeling,People & Body,person-sport
_purse_,10,👛,purse,Objects,clothing
_middle_finger_dark_skin_tone_,10,🖕🏿,middle finger: dark skin tone,People & Body,hand-single-finger
_princess_medium-light_skin_tone_,10,👸🏼,princess: medium-light skin tone,People & Body,person-role
_backhand_index_pointing_left_dark_skin_tone_,10,👈🏿,backhand index pointing left: dark skin tone,People & Body,hand-single-finger
_backhand_index_pointing_down_medium-dark_skin_tone_,10,👇🏾,backhand index pointing down: medium-dark skin tone,People & Body,hand-single-finger
_trident_emblem_,10,🔱,trident emblem,Symbols,other-symbol
_baby_bottle_,10,🍼,baby bottle,Food & Drink,drink
_woman_student_,10,👩‍🎓,woman student,People & Body,person-role
_framed_picture_,10,🖼️,framed picture,Activities,arts & crafts
_girl_light_skin_tone_,10,👧🏻,girl: light skin tone,People & Body,person
_violin_,10,🎻,violin,Objects,musical-instrument
_volcano_,10,🌋,volcano,Travel & Places,place-geographic
_woman_raising_hand_medium_skin_tone_,10,🙋🏽‍♀️,woman raising hand: medium skin tone,People & Body,person-gesture
_man_biking_,10,🚴‍♂️,man biking,People & Body,person-sport
_lobster_,10,🦞,lobster,Food & Drink,food-marine
_white_flag_,10,🏳️,white flag,Flags,flag
_raised_fist_light_skin_tone_,10,✊🏻,raised fist: light skin tone,People & Body,hand-fingers-closed
_female_sign_,10,♀️,female sign,Symbols,gender
_man_fairy_,10,🧚‍♂️,man fairy,People & Body,person-fantasy
_fast_reverse_button_,10,⏪,fast reverse button,Symbols,av-symbol
_man_bowing_,10,🙇‍♂️,man bowing,People & Body,person-gesture
_high-speed_train_,10,🚄,high-speed train,Travel & Places,transport-ground
_black_small_square_,10,▪️,black small square,Symbols,geometric
_rosette_,10,🏵️,rosette,Animals & Nature,plant-flower
_bust_in_silhouette_,10,👤,bust in silhouette,People & Body,person-symbol
_black_large_square_,10,⬛,black large square,Symbols,geometric
_key_,10,🔑,key,Objects,lock
_test_tube_,10,🧪,test tube,Objects,science
_spaghetti_,10,🍝,spaghetti,Food & Drink,food-asian
_hole_,10,🕳️,hole,Smileys & Emotion,emotion
_detective_,10,🕵️,detective,People & Body,person-role
_call_me_hand_medium_skin_tone_,10,🤙🏽,call me hand: medium skin tone,People & Body,hand-fingers-partial
_cloud_with_lightning_and_rain_,10,⛈️,cloud with lightning and rain,Travel & Places,sky & weather
_man_raising_hand_medium_skin_tone_,9,🙋🏽‍♂️,man raising hand: medium skin tone,People & Body,person-gesture
_heart_on_fire_,9,❤️‍🔥,heart on fire,Smileys & Emotion,emotion
_watch_,9,⌚,watch,Travel & Places,time
_man_cook_,9,👨‍🍳,man cook,People & Body,person-role
_school_,9,🏫,school,Travel & Places,place-building
_person_taking_bath_,9,🛀,person taking bath,People & Body,person-resting
_night_with_stars_,9,🌃,night with stars,Travel & Places,place-other
_firecracker_,9,🧨,firecracker,Activities,event
_woman_gesturing_NO_light_skin_tone_,9,🙅🏻‍♀️,woman gesturing NO: light skin tone,People & Body,person-gesture
_sparkler_,9,🎇,sparkler,Activities,event
_United_Kingdom_,9,🇬🇧,flag: United Kingdom,Flags,country-flag
_woman_running_light_skin_tone_,9,🏃🏻‍♀️,woman running: light skin tone,People & Body,person-activity
_woman_superhero_light_skin_tone_,9,🦸🏻‍♀️,woman superhero: light skin tone,People & Body,person-fantasy
_index_pointing_up_medium-light_skin_tone_,9,☝🏼,index pointing up: medium-light skin tone,People & Body,hand-single-finger
_man_dancing_medium-light_skin_tone_,9,🕺🏼,man dancing: medium-light skin tone,People & Body,person-activity
_person_biking_,9,🚴,person biking,People & Body,person-sport
_cocktail_glass_,9,🍸,cocktail glass,Food & Drink,drink
_goat_,9,🐐,goat,Animals & Nature,animal-mammal
_Statue_of_Liberty_,9,🗽,Statue of Liberty,Travel & Places,place-building
_nail_polish_medium-light_skin_tone_,9,💅🏼,nail polish: medium-light skin tone,People & Body,hand-prop
_pool_8_ball_,9,🎱,pool 8 ball,Activities,game
_handbag_,9,👜,handbag,Objects,clothing
_tropical_drink_,9,🍹,tropical drink,Food & Drink,drink
_baby_light_skin_tone_,9,👶🏻,baby: light skin tone,People & Body,person
_pregnant_woman_,9,🤰,pregnant woman,People & Body,person-role
_bicycle_,9,🚲,bicycle,Travel & Places,transport-ground
_tiger_face_,9,🐯,tiger face,Animals & Nature,animal-mammal
_old_woman_,9,👵,old woman,People & Body,person
_ear_of_corn_,9,🌽,ear of corn,Food & Drink,food-vegetable
_backhand_index_pointing_up_dark_skin_tone_,9,👆🏿,backhand index pointing up: dark skin tone,People & Body,hand-single-finger
_man_walking_light_skin_tone_,9,🚶🏻‍♂️,man walking: light skin tone,People & Body,person-activity
_desert_,9,🏜️,desert,Travel & Places,place-geographic
_factory_,9,🏭,factory,Travel & Places,place-building
_sunrise_over_mountains_,9,🌄,sunrise over mountains,Travel & Places,place-other
_backhand_index_pointing_up_medium-dark_skin_tone_,9,👆🏾,backhand index pointing up: medium-dark skin tone,People & Body,hand-single-finger
_place_of_worship_,9,🛐,place of worship,Symbols,religion
_pirate_flag_,9,🏴‍☠️,pirate flag,Flags,flag
_drum_,9,🥁,drum,Objects,musical-instrument
_teacup_without_handle_,9,🍵,teacup without handle,Food & Drink,drink
_person_getting_massage_,8,💆,person getting massage,People & Body,person-activity
_woman_technologist_light_skin_tone_,8,👩🏻‍💻,woman technologist: light skin tone,People & Body,person-role
